station_id,station_name,province,elevation_m,latitude,longitude
735,Chilliwack,BRITISH COLUMBIA,11,49.17,-121.92
1586,Pelly Ranch,YUKON TERRITORY,445,62.83,-137.31
1650,Tulita A,NORTHWEST TERRITORIES,100.3,64.91,-125.57
1786,Cambridge Bay A,NUNAVUT,31.09,69.11,-105.14
2205,Calgary Int'l A,ALBERTA,1084.1,51.11,-114.02
2925,Indian Head Cda,SASKATCHEWAN,579.1,50.55,-103.65
3912,York Factory,MANITOBA,6,57,-92.3
5051,Toronto,ONTARIO,112.5,43.67,-79.4
5345,Danville,QUEBEC,190,45.82,-71.98
6206,Moncton,NEW BRUNSWICK,12.2,46.1,-64.79
6454,Sable Island,NOVA SCOTIA,5,43.93,-60.01
6527,Charlottetown Cda,PRINCE EDWARD ISLAND,22.6,46.25,-63.13
6693,Port Aux Basques,NEWFOUNDLAND,39.7,47.57,-59.15
